config,model,quant,device,file_mb,load_s,peak_rss_mb,wall_s,cold_p50_ms,cold_p95_ms,cold_prompt_n,cold_warm_agree,n,accuracy,macro_f1,invalid_rate,aurc,ece,lat_p50_ms,lat_p95_ms,lat_max_ms,acc_lo,acc_hi,f1_lo,f1_hi,sel_acc@50,sel_acc@70,sel_acc@90,truncated,prompt_tps,gen_tps,label_mass
qwen3-1.7b-F16,qwen3-1.7b,F16,mac-mini-m4-cpu,4069.6789,2.1248,3747.1027,164.809,1131.781,1194.6518,420.0,1.0,500,0.762,0.7651,0.0,0.1018,0.224,312.7231,478.7944,602.9681,0.724,0.796,0.7269,0.7986,0.904,0.8657,0.8,0,83.5194,19.9307,1.0
qwen3-1.7b-Q3_K_M,qwen3-1.7b,Q3_K_M,mac-mini-m4-cpu,1073.2419,0.8766,1674.9036,127.1645,1325.4258,1512.3507,420.0,0.96,500,0.622,0.6262,0.0,0.1758,0.3394,238.5197,350.5509,454.3562,0.578,0.662,0.5801,0.663,0.82,0.7457,0.6622,0,94.263,50.7389,1.0
qwen3-1.7b-Q4_K_M,qwen3-1.7b,Q4_K_M,mac-mini-m4-cpu,1282.439,1.0499,1813.5286,74.0105,1724.8583,1791.9478,420.0,0.96,500,0.71,0.7107,0.0,0.1202,0.2716,136.0488,203.771,352.4522,0.672,0.748,0.6718,0.7473,0.908,0.8286,0.76,0,187.5681,52.3999,1.0
qwen3-1.7b-Q5_K_M,qwen3-1.7b,Q5_K_M,mac-mini-m4-cpu,1471.8052,1.1669,1978.9087,90.9315,2125.8741,2495.3655,420.0,0.98,500,0.756,0.7584,0.0,0.0995,0.2329,168.0568,262.856,453.2578,0.72,0.792,0.719,0.7907,0.9,0.88,0.7911,0,151.1285,46.0379,1.0
qwen3-1.7b-Q8_0,qwen3-1.7b,Q8_0,mac-mini-m4-cpu,2165.0389,1.4882,2778.7919,72.4855,1275.2663,1360.8884,420.0,1.0,500,0.766,0.7677,0.0,0.1003,0.215,136.8038,189.6565,311.3419,0.728,0.802,0.7299,0.8027,0.908,0.8714,0.8044,0,216.967,35.6287,1.0
qwen3-8b-Q4_K_M,qwen3-8b,Q4_K_M,mac-mini-m4-cpu,5027.7836,4.4388,5231.7716,285.2364,7679.2789,8735.7693,420.0,1.0,500,0.81,0.8131,0.0,0.066,0.1779,541.2449,814.8674,1451.0726,0.772,0.846,0.7737,0.8467,0.94,0.9171,0.8533,0,46.4643,14.137,1.0
smollm2-1.7b-F16,smollm2-1.7b,F16,mac-mini-m4-cpu,3424.7358,1.9549,3818.0946,166.1975,1249.0205,1322.6843,439.0,1.0,500,0.714,0.7278,0.0,0.1647,0.0505,311.0236,500.8555,683.091,0.674,0.752,0.6879,0.7643,0.836,0.8,0.7489,0,75.5027,19.9292,0.9557
smollm2-1.7b-Q3_K_M,smollm2-1.7b,Q3_K_M,mac-mini-m4-cpu,860.181,0.5966,1377.3373,121.6468,1436.1432,1517.9165,439.0,0.94,500,0.52,0.5086,0.0,0.303,0.0962,223.9349,369.8483,439.8886,0.478,0.566,0.468,0.548,0.7,0.6229,0.5533,0,85.9798,52.5984,0.8934
smollm2-1.7b-Q4_K_M,smollm2-1.7b,Q4_K_M,mac-mini-m4-cpu,1055.6094,0.7684,1554.5631,70.2412,1918.3816,2013.1225,439.0,0.94,500,0.652,0.6739,0.0,0.2148,0.0799,128.822,208.9982,377.8847,0.612,0.692,0.6314,0.712,0.772,0.7371,0.68,0,176.6162,54.2204,0.9204
smollm2-1.7b-Q5_K_M,smollm2-1.7b,Q5_K_M,mac-mini-m4-cpu,1225.4787,0.9279,1724.4488,88.1721,2445.1192,2602.8202,439.0,0.96,500,0.684,0.6993,0.0,0.1859,0.0908,165.059,266.2724,475.7749,0.642,0.722,0.6587,0.7363,0.804,0.7771,0.7178,0,137.6028,46.1191,0.9498
smollm2-1.7b-Q8_0,smollm2-1.7b,Q8_0,mac-mini-m4-cpu,1820.4145,1.2747,2362.0977,74.8251,1470.5637,1550.883,439.0,1.0,500,0.718,0.7327,0.0,0.1577,0.0646,142.6907,207.3031,338.1281,0.68,0.756,0.6934,0.7703,0.844,0.8029,0.7556,0,191.3172,35.1834,0.9555
